Annee;2015;2016
AFGHANISTAN;201;207
AFRIQUE DU SUD;7 659;7 921
ALBANIE;203;197
ALGERIE;38 325;40 717
ALLEMAGNE;114 020;118 331
ANDORRE;3 141;3 114
ANGOLA;1 838;1 766
ARABIE SAOUDITE;5 893;6 143
ARGENTINE;13 456;12 327
ARMENIE;529;548
AUSTRALIE;24 284;25 267
AUTRICHE;8 859;9 215
AZERBAIDJAN;162;199
BAHREIN;1 124;1 088
BANGLADESH;242;237
BELGIQUE;120 724;124 978
BENIN;3 833;3 797
BIELORUSSIE;172;191
BIRMANIE;777;809
BOLIVIE;1 527;1 539
BOSNIE-HERZEGOVINE;402;393
BOTSWANA;120;117
BRESIL;21 670;20 944
BRUNEI;171;134
BULGARIE;1 325;1 412
BURKINA;3 442;3 317
BURUNDI;377;290
CAMBODGE;4 731;4 880
CAMEROUN;6 521;6 404
CANADA;92 116;101 541
CAP-VERT;405;339
CENTRAFRICAINE (REP.);712;762
CHILI;10 690;11 652
CHINE;31 296;31 252
CHYPRE;1 380;1 409
COLOMBIE;5 428;5 647
COMORES;1 855;1 735
CONGO;6 879;6 921
CONGO (REP. DEMOCRAT.);2 622;2 693
COREE;2 927;3 077
COSTA RICA;2 557;2 668
COTE D'IVOIRE;16 429;17 034
CROATIE;1 005;1 021
CUBA;764;922
DANEMARK;5 188;5 695
DJIBOUTI;4 638;4 305
DOMINICAINE (REP.);4 106;4 023
EGYPTE;6 090;6 030
EMIRATS ARABES UNIS;20 638;22 502
EQUATEUR;2 588;2 720
ESPAGNE;86 016;84 730
ESTONIE;228;278
ETATS-UNIS;141 942;157 849
ETHIOPIE;1 005;1 074
FIDJI;232;236
FINLANDE;2 901;3 059
GABON;10 568;10 600
GEORGIE;326;376
GHANA;1 080;1 153
GRECE;10 040;10 086
GUATEMALA;840;907
GUINEE;3 026;2 949
GUINEE EQUATORIALE;515;398
GUINEE-BISSAO;100;99
HAITI;1 715;1 799
HONDURAS;274;265
HONGRIE;2 489;2 564
INDE;9 585;9 571
INDONESIE;4 301;4 395
IRAK;391;399
IRAN;1 046;1 146
IRLANDE;9 089;10 161
ISLANDE;404;515
ISRAEL;50 451;50 640
ISRAEL/TER. PALESTINIENS;21 964;20 496
ITALIE;44 835;44 112
JAMAIQUE;146;159
JAPON;8 106;9 722
JORDANIE;1 503;1 642
KAZAKHSTAN;461;457
KENYA;1 561;1 657
KOSOVO;139;142
KOWEIT;1 071;1 144
LAOS;2 090;2 129
LETTONIE;227;269
LIBAN;22 121;23 046
LIBYE;191;173
LITUANIE;427;431
LUXEMBOURG;33 362;34 839
MACEDOINE;241;251
MADAGASCAR;18 299;18 012
MALAISIE;3 422;3 411
MALI;7 307;8 056
MALTE;748;966
MAROC;51 109;52 728
MAURICE;10 629;11 367
MAURITANIE;1 756;1 713
MEXIQUE;18 537;18 235
MOLDAVIE;94;90
MONACO;7 692;7 697
MONGOLIE;129;109
MONTENEGRO;132;135
MOZAMBIQUE;564;618
NAMIBIE;239;234
NEPAL;212;225
NICARAGUA;749;787
NIGER;1 477;1 428
NIGERIA;1 678;1 594
NORVEGE;4 682;5 191
NOUVELLE-ZELANDE;4 400;4 685
OMAN;795;779
OUGANDA;380;333
OUZBEKISTAN;97;105
PAKISTAN;551;558
PANAMA;1 722;1 822
PAPOUASIE-NOUVELLE-GUINEE;69;77
PARAGUAY;1 529;1 319
PAYS-BAS;24 001;25 685
PEROU;3 732;3 921
PHILIPPINES;2 926;3 034
POLOGNE;6 170;6 195
PORTUGAL;15 284;16 488
QATAR;4 091;4 513
ROUMANIE;3 562;3 945
ROYAUME-UNI;127 837;140 224
RUSSIE;5 755;5 463
RWANDA;303;365
SAINTE-LUCIE;926;876
SALVADOR;624;604
SENEGAL;20 252;20 299
SERBIE;1 576;1 620
SEYCHELLES;602;581
SINGAPOUR;12 000;13 952
SLOVAQUIE;841;967
SLOVENIE;720;735
SOUDAN;239;251
SOUDAN DU SUD;90;88
SRI LANKA;529;591
SUEDE;7 075;7 654
SUISSE;175 700;179 597
SURINAME;239;236
SYRIE;814;573
TADJIKISTAN;54;36
TAIWAN;1 961;2 124
TANZANIE;744;681
TCHAD;1 483;1 454
TCHEQUE (REPUBLIQUE);4 017;4 453
THAILANDE;11 899;12 544
TOGO;2 740;2 588
TRINITE-ET-TOBAGO;638;553
TUNISIE;21 932;22 438
TURKMENISTAN;185;95
TURQUIE;9 029;9 851
UKRAINE;850;887
URUGUAY;2 955;2 928
VANUATU;1 840;1 900
VENEZUELA;4 456;4 231
VIET NAM;7 401;7 652
YEMEN;358;245
ZAMBIE;209;193
ZIMBABWE;258;256
;;
TOTAL MONDIAL : ;1 710 945;1 782 188
